Jarett Gandolfo,Republican,NY State Senate,SD-8 (Suffolk - Islip/South Shore),,,,,,"Moving from AD-7 to run for open SD-8 seat vacated by Sen. Alexis Weik; nominated at Suffolk GOP Feb 2026 convention. Source: Messenger Papers"
Brianne Wakefield,Republican,NY State Senate,SD-4 (Suffolk),,,,,,"Bay Shore; Suffolk GOP nominee; former Chief of Staff to Presiding Officer Piccirillo; challenging incumbent Monica Martinez. Source: Messenger Papers"
Monica Martinez,Democrat,NY State Senate,SD-4 (Suffolk),https://www.monicaforny.com/,,,,,"Incumbent; running again under NY even-year elections law. Source: NYSenate.gov / Ballotpedia"
Anthony Palumbo,Republican,NY State Senate,SD-1 (Suffolk East End),,,,,,"Incumbent; nominated at Suffolk GOP Feb 13 2026 convention. Source: South Shore Press"
Farzeen Bham,Democrat,NY State Senate,SD-1 (Suffolk East End),,bhamforsenate@gmail.com,@bham_farzeen,,https://www.facebook.com/FarzeenBhamforSenate/,,"Coram resident; announced Jan 2026; in Dem primary with Chris Murray. Source: riverheadlocal.com Jan 13 2026"
Chris Murray,Democrat,NY State Senate,SD-1 (Suffolk East End),,,,,,,"In Democratic primary with Farzeen Bham for SD-1. Source: Ballotpedia / Patch"
Dean Murray,Republican,NY State Senate,SD-3 (Central/Western Suffolk),,,,,,"Incumbent; all Senate seats up in 2026. Source: Ballotpedia"
Jack Martins,Republican,NY State Senate,SD-7 (Northwestern Nassau),https://www.martinsforsenate.com/,,,,,"Incumbent. Source: Ballotpedia / LI Press"
Rory Lancman,Democrat,NY State Senate,SD-7 (Northwestern Nassau),,,@RoryLancman,,,,"Formally announced Feb 9 2026; former Assembly Member; raised $154K+; endorsed by Suozzi/Jay Jacobs. Source: LI Press Feb 9 2026"
Siela Bynoe,Democrat,NY State Senate,SD-6 (Central Nassau),,,,,https://www.facebook.com/sielaforsenate/,,"Incumbent; first term ends Dec 2026; reelection expected. Source: Ballotpedia"
Steven Rhoads,Republican,NY State Senate,SD-5 (Nassau/NW Suffolk),https://steverhoads.com/,,,,,"Incumbent. Source: Ballotpedia"
Patricia Canzoneri-Fitzpatrick,Republican,NY State Senate,SD-9 (Southern Nassau),https://www.patriciaforsenate.com/,,,https://www.facebook.com/SenatorPatriciaCanzoneriFitzpatrick,,,"Incumbent. Source: Ballotpedia"
Ray Tierney,Republican,Suffolk County District Attorney,Suffolk County,https://www.raytierneyforda.com/,Campaign@RayTierneyforDA.com,,,https://www.facebook.com/RayTierneyforDa/,,"Incumbent; confirmed seeking reelection. Source: suffolkcountynews.net"
Anne Donnelly,Republican,Nassau County District Attorney,Nassau County,,,,,,"Incumbent confirmed running for reelection. Source: News12 Long Island / LI Herald"
Nicole Aloise,Democrat,Nassau County District Attorney,Nassau County,https://nicolefornassau.com/,,,,,,"Challenger; 16-year prosecutor from Garden City. Source: liherald.com / LI Press"
Ed Romaine,Republican,Suffolk County Executive,Suffolk County,,,,https://www.facebook.com/ExecEdRomaine/,,"Incumbent; running per Suffolk GOP 2026 slate; no specific new announcement found. Source: South Shore Press Feb 2026"
Dave Calone,Democrat,Suffolk County Executive,Suffolk County,https://caloneforsuffolk.com/,,@Calone4Suffolk,https://www.instagram.com/caloneforsuffolk/,https://www.facebook.com/caloneforsuffolk/,,"Ran 2023 (lost to Romaine); Suffolk Dems page active for 2026; no new formal announcement as of March 2026 — likely running. Source: suffolkcountydems.com"
Dan Losquadro,Republican,Suffolk County Comptroller,Suffolk County,,,,,,"Brookhaven Highway Superintendent (5 terms); nominated by Suffolk GOP at Feb 2026 convention; replacing term-limited Comptroller John Kennedy Jr. Source: South Shore Press"
DawnMarie Kuhn,Republican,NY State Assembly,AD-7 (South Shore Islip/Sayville Suffolk),,,,,,"Islip Town Councilwoman; nominated by Suffolk GOP to replace Gandolfo (moving to Senate). Source: Messenger Papers Feb 2026"
Rebecca Kassay,Democrat,NY State Assembly,AD-4 (Brookhaven/Stony Brook Suffolk),https://www.kassayforassembly.com/,,,,,"Incumbent; won first term Nov 2024; seeking reelection. Source: TBR News Media"
Jodi Giglio,Republican,NY State Assembly,AD-2 (East End/Riverhead/North Fork Suffolk),,,,,,"Incumbent 3rd term. Source: Ballotpedia"
Joe DeStefano,Republican,NY State Assembly,AD-3 (Medford/Middle Island/Brookhaven Suffolk),,,,,,"Incumbent 4th term. Source: Ballotpedia"
Douglas Smith,Republican,NY State Assembly,AD-8 (Smithtown/St. James Suffolk),,,,,,"Incumbent 4th full term. Source: Ballotpedia"
Steve Stern,Democrat,NY State Assembly,AD-10 (Dix Hills/Huntington Station Suffolk),,,,,,"Incumbent. Source: Ballotpedia"
Philip Ramos,Democrat,NY State Assembly,AD-6 (Brentwood/Central Islip Suffolk),,,,,,"Incumbent 12th term. Source: Ballotpedia"
Ed Ra,Republican,NY State Assembly,AD-19 (Garden City Nassau),,,,,,"Incumbent; elected Assembly Minority Leader Feb 9 2026. Source: Spectrum News / City & State NY"
David McDonough,Republican,NY State Assembly,AD-14 (Baldwin/Merrick/Bellmore Nassau),,,,,,"Incumbent 12th full term. Source: Ballotpedia"
Jake Blumencranz,Republican,NY State Assembly,AD-15 (Oceanside/Long Beach/Hempstead Nassau),,,,,,"Incumbent 2nd term. Source: Ballotpedia"
John Mikulin,Republican,NY State Assembly,AD-17 (Bethpage/Farmingdale Nassau),,,,,,"Incumbent 4th full term. Source: Ballotpedia"
Ari Brown,Republican,NY State Assembly,AD-40 (East Meadow/Levittown Nassau),,,,,,"Incumbent 2nd full term. Source: Ballotpedia"
Charles Lavine,Democrat,NY State Assembly,AD-13 (Glen Cove/Sea Cliff Nassau),,,,,,"Incumbent; supported Lancman for Senate. Source: Ballotpedia"
Michaelle Solages,Democrat,NY State Assembly,AD-22 (Elmont/Valley Stream Nassau),,,,,,"Incumbent 7th term. Source: Ballotpedia"
